X62n1211_001:0827c22	滅。蓮華脚底為君開。	滅 蓮 華 脚 底 為 君 開 
X62n1211_001:0827c23	把茅有約待君還。遮眼華嚴曰閉關。誰信普賢毛孔	把 茅 有 約 待 君 還 遮 眼 華 嚴 曰 閉 關 誰 信 普 賢 毛 孔 
X62n1211_001:0827c24	內。尼山風月不曾閒。	內 尼 山 風 月 不 曾 閒 
X62n1211_001:0828a01	題從兄葆元畫梅	題 從 兄 葆 元 畫 梅 
X62n1211_001:0828a02	重陰調萬物。元化從此回。空山曠無人。誰見寒花開。	重 陰 調 萬 物 元 化 從 此 回 空 山 曠 無 人 誰 見 寒 花 開 
X62n1211_001:0828a03	寂寥冰雪中。時聞猿鳥哀。	寂 寥 冰 雪 中 時 聞 猿 鳥 哀 
X62n1211_001:0828a04	吾兄古愚者。味如[糸八]酒醇。塵世不可著。相逢畫中身。	吾 兄 古 愚 者 味 如 [糸八] 酒 醇 塵 世 不 可 著 相 逢 畫 中 身 
X62n1211_001:0828a05	轉瞚光風吹。爭羨桃李春。	轉 瞚 光 風 吹 爭 羨 桃 李 春 
X62n1211_001:0828a06	入盤山訪千像寺	入 盤 山 訪 千 像 寺 
X62n1211_001:0828a07	尋幽沿曲徑。孤賞愜平生。徐度石橋去。靜聞流水聲。	尋 幽 沿 曲 徑 孤 賞 愜 平 生 徐 度 石 橋 去 靜 聞 流 水 聲 
X62n1211_001:0828a08	奇峯發古意。紅葉落浮滎。指點精藍好。飄然遠世情。	奇 峯 發 古 意 紅 葉 落 浮 滎 指 點 精 藍 好 飄 然 遠 世 情 
X62n1211_001:0828a09	憩萬松寺	憩 萬 松 寺 
X62n1211_001:0828a10	遙指萬松寺。還陵千仞山。上頭仍有路。到處且偷閒。	遙 指 萬 松 寺 還 陵 千 仞 山 上 頭 仍 有 路 到 處 且 偷 閒 
X62n1211_001:0828a11	眾籟一時靜。行人去不還。蕭然誰共語。親叩紫宸關。	眾 籟 一 時 靜 行 人 去 不 還 蕭 然 誰 共 語 親 叩 紫 宸 關 
X62n1211_001:0828a12	自詒	自 詒 
X62n1211_001:0828a13	靈源寂寂太初春。鑑我鬚眉不染塵。隨分丹鉛觀物	靈 源 寂 寂 太 初 春 鑑 我 鬚 眉 不 染 塵 隨 分 丹 鉛 觀 物 
X62n1211_001:0828a14	化。偶然歌哭在人倫。天邊月色原無盡。洞口桃花幾	化 偶 然 歌 哭 在 人 倫 天 邊 月 色 原 無 盡 洞 口 桃 花 幾 
X62n1211_001:0828a15	度新。欲向蓬萊操一曲。蒼茫雲水更誰鄰。	度 新 欲 向 蓬 萊 操 一 曲 蒼 茫 雲 水 更 誰 鄰 
X62n1211_001:0828a16	沈立方見示新詩	沈 立 方 見 示 新 詩 
X62n1211_001:0828a17	語默千秋事。風華滿眼詩。先生真自在。吾道少人知。	語 默 千 秋 事 風 華 滿 眼 詩 先 生 真 自 在 吾 道 少 人 知 
X62n1211_001:0828a18	樂此太平世。依然春日遲。不須長閉戶。此意更無私。	樂 此 太 平 世 依 然 春 日 遲 不 須 長 閉 戶 此 意 更 無 私 
