T21n1308_001:0427c26	遷移　凶平平平平平平　火愛熱味辛便膩	遷 移 凶 平 平 平 平 平 平 火 愛 熱 味 辛 便 膩 
T21n1308_001:0427c27	官位喜平平吉平移動平　水愛醋苦金愛熱	官 位 喜 平 平 吉 平 移 動 平 水 愛 醋 苦 金 愛 熱 
T21n1308_001:0427c28	便[仁二+(止/(止*止))]醋。	便 [仁二止止止] 醋 
T21n1308_001:0428a01	福相　平平平平平平平　木愛香羔便生菓	福 相 平 平 平 平 平 平 平 木 愛 香 羔 便 生 菓 
T21n1308_001:0428a02	子及便生茱。	子 及 便 生 茱 
T21n1308_001:0428a03	困窮　平平平平平平平　土愛鹹苦酸。	困 窮 平 平 平 平 平 平 平 土 愛 鹹 苦 酸 
T21n1308_001:0428a04	日至(命位得福度分望合奇託虛靈化修功德吉慎怒惑男女疾患)	日 至 命 位 得 福 度 分 望 合 奇 託 虛 靈 化 修 功 德 吉 慎 怒 惑 男 女 疾 患 
T21n1308_001:0428a05	日至(財位合散財小有口舌慎之吉守家吉)	日 至 財 位 合 散 財 小 有 口 舌 慎 之 吉 守 家 吉 
T21n1308_001:0428a06	兄弟宮(益朋友添資財大吉)	兄 弟 宮 益 朋 友 添 資 財 大 吉 
T21n1308_001:0428a07	田宅宮(親眷病及自身有小疾病)	田 宅 宮 親 眷 病 及 自 身 有 小 疾 病 
T21n1308_001:0428a08	男女宮(憂男女多愁苦)	男 女 宮 憂 男 女 多 愁 苦 
T21n1308_001:0428a09	僮僕宮(冤家權滅大吉宜遠行)	僮 僕 宮 冤 家 權 滅 大 吉 宜 遠 行 
T21n1308_001:0428a10	夫妻宮(有憂懼不安損財物一月內)	夫 妻 宮 有 憂 懼 不 安 損 財 物 一 月 內 
T21n1308_001:0428a11	病厄宮(憂愁四支沈重)	病 厄 宮 憂 愁 四 支 沈 重 
T21n1308_001:0428a12	遷移宮(敬恐憂遠行吉坐即愁)	遷 移 宮 敬 恐 憂 遠 行 吉 坐 即 愁 
T21n1308_001:0428a13	官位宮(合得衣裳所營成就遷官)	官 位 宮 合 得 衣 裳 所 營 成 就 遷 官 
T21n1308_001:0428a14	福相宮(得女田宅得人恭敬承喜樂增冤家自散)	福 相 宮 得 女 田 宅 得 人 恭 敬 承 喜 樂 增 冤 家 自 散 
T21n1308_001:0428a15	禍害宮(一切並吉合於一老人得善物大吉)	禍 害 宮 一 切 並 吉 合 於 一 老 人 得 善 物 大 吉 
T21n1308_001:0428a16	月至(命官合有爭競遠信至一切稱遂物服業)	月 至 命 官 合 有 爭 競 遠 信 至 一 切 稱 遂 物 服 業 
T21n1308_001:0428a17	財宮(不用遠行安家大吉)	財 宮 不 用 遠 行 安 家 大 吉 
T21n1308_001:0428a18	兄弟宮(諸事稱意)	兄 弟 宮 諸 事 稱 意 
T21n1308_001:0428a19	田宅宮(切須慎口舌不出吉)	田 宅 宮 切 須 慎 口 舌 不 出 吉 
T21n1308_001:0428a20	男女宮(雖有憂愁亦無苦害)	男 女 宮 雖 有 憂 愁 亦 無 苦 害 
T21n1308_001:0428a21	僮僕宮(一切皆喜慶)	僮 僕 宮 一 切 皆 喜 慶 
T21n1308_001:0428a22	夫妻宮(諸事皆喜)	夫 妻 宮 諸 事 皆 喜 
T21n1308_001:0428a23	病厄宮(唯慎口舌)	病 厄 宮 唯 慎 口 舌 
T21n1308_001:0428a24	遷移宮(亦慎口舌他無)	遷 移 宮 亦 慎 口 舌 他 無 
T21n1308_001:0428a25	官位宮(所求皆得稱遂)	官 位 宮 所 求 皆 得 稱 遂 
T21n1308_001:0428a26	福相宮(有病自差大吉)	福 相 宮 有 病 自 差 大 吉 
T21n1308_001:0428a27	禍害宮(不宜論官諸悉平平)	禍 害 宮 不 宜 論 官 諸 悉 平 平 
T21n1308_001:0428b01	若有人來。不記得自本所屬病來問者。以	若 有 人 來 不 記 得 自 本 所 屬 病 來 問 者 以 
T21n1308_001:0428b02	何定之。皆看其人初來時手觸著處而以	何 定 之 皆 看 其 人 初 來 時 手 觸 著 處 而 以 
T21n1308_001:0428b03	斷之。	斷 之 
T21n1308_001:0428b16	一說云。陰陽書倍月加日者。若人知生日不	一 說 云 陰 陽 書 倍 月 加 日 者 若 人 知 生 日 不 
T21n1308_001:0428b17	知本命宿(假令十一月二十八日生人者。先十月并置二十。月加二十八日并得四十八。自室計之當	知 本 命 宿 假 令 十 一 月 二 十 八 日 生 人 者 先 十 月 并 置 二 十 月 加 二 十 八 日 并 得 四 十 八 自 室 計 之 當 
T21n1308_001:0428b18	心宿是也)。	心 宿 是 也 
T21n1308_001:0428b19	一說云。先置十三算加二十八。並得四十一	一 說 云 先 置 十 三 算 加 二 十 八 並 得 四 十 一 
T21n1308_001:0428b20	(假令十一月二十八日生人者。自十一月十五日宿鬼計之當斗。是也)已上說猶髣髴也	 假 令 十 一 月 二 十 八 日 生 人 者 自 十 一 月十五日 宿 鬼 計 之 當 斗 是 也 已 上 說 猶 髣 髴 也 
T21n1308_001:0428b21	九曜息災大白衣觀音陀羅尼(若日月在人本命宮中。及五星在本命	九 曜 息 災 大 白 衣 觀 音 陀 羅 尼 若 日 月 在 人 本 命 宮 中 及 五 星 在 本 命 
T21n1308_001:0428b22	宮。鬪戰失度可立大息災觀音或文殊八字熾盛光佛頂等道場。各依本法念誦。一切災難自然消散)。	宮 鬪 戰 失 度 可 立 大 息 災 觀 音 或 文 殊 八 字 熾 盛 光 佛 頂 等 道 場 各 依 本 法 念 誦 一 切 災 難 自 然 消 散 
T21n1308_001:0428b23	一切曜不吉祥誦此真言　能吉祥真言。	一 切 曜 不 吉 祥 誦 此 真 言 能 吉 祥 真 言 
